"Tmu","TriNo","Code","Comnt"
281494141,720,1,"Trig. 720"
282144531,820,1,"Trig. 820"
282818359,920,1,"Trig. 920"
284279297,720,1,"Trig. 720"
284976563,820,1,"Trig. 820"
285673828,920,1,"Trig. 920"
287113281,711,1,"Trig. 711"
287808594,811,1,"Trig. 811"
288505859,911,1,"Trig. 911"
289898438,710,1,"Trig. 710"
290595703,810,1,"Trig. 810"
291292969,910,1,"Trig. 910"
292732422,721,1,"Trig. 721"
293427734,821,1,"Trig. 821"
294125000,921,1,"Trig. 921"
295517578,711,1,"Trig. 711"
296214844,811,1,"Trig. 811"
296912109,911,1,"Trig. 911"
298351563,721,1,"Trig. 721"
299046875,821,1,"Trig. 821"
299744141,921,1,"Trig. 921"
301136719,711,1,"Trig. 711"
301833984,811,1,"Trig. 811"
302531250,911,1,"Trig. 911"
303970703,710,1,"Trig. 710"
304621094,810,1,"Trig. 810"
305363281,910,1,"Trig. 910"
306755859,710,1,"Trig. 710"
307453125,810,1,"Trig. 810"
308150391,910,1,"Trig. 910"
309589844,710,1,"Trig. 710"
310285156,810,1,"Trig. 810"
310982422,910,1,"Trig. 910"
312375000,721,1,"Trig. 721"
313072266,821,1,"Trig. 821"
313769531,921,1,"Trig. 921"
315208984,720,1,"Trig. 720"
315904297,820,1,"Trig. 820"
316601563,920,1,"Trig. 920"
317994141,711,1,"Trig. 711"
318691406,811,1,"Trig. 811"
319388672,911,1,"Trig. 911"
320828125,710,1,"Trig. 710"
321523438,810,1,"Trig. 810"
322220703,910,1,"Trig. 910"
323613281,721,1,"Trig. 721"
324310547,821,1,"Trig. 821"
325007813,921,1,"Trig. 921"
326447266,720,1,"Trig. 720"
327142578,820,1,"Trig. 820"
327839844,920,1,"Trig. 920"
329232422,711,1,"Trig. 711"
329929688,811,1,"Trig. 811"
330626953,911,1,"Trig. 911"
332066406,710,1,"Trig. 710"
332761719,810,1,"Trig. 810"
333458984,910,1,"Trig. 910"
334851563,710,1,"Trig. 710"
335548828,810,1,"Trig. 810"
336246094,910,1,"Trig. 910"
337685547,721,1,"Trig. 721"
338380859,821,1,"Trig. 821"
339078125,921,1,"Trig. 921"
340470703,711,1,"Trig. 711"
341167969,811,1,"Trig. 811"
341865234,911,1,"Trig. 911"
343304688,721,1,"Trig. 721"
3.44e+08,821,1,"Trig. 821"
344697266,921,1,"Trig. 921"
346089844,720,1,"Trig. 720"
346787109,820,1,"Trig. 820"
347484375,920,1,"Trig. 920"
348923828,720,1,"Trig. 720"
349619141,820,1,"Trig. 820"
350316406,920,1,"Trig. 920"
351708984,711,1,"Trig. 711"
352406250,811,1,"Trig. 811"
353103516,911,1,"Trig. 911"
354542969,710,1,"Trig. 710"
355238281,810,1,"Trig. 810"
355935547,910,1,"Trig. 910"
357328125,710,1,"Trig. 710"
358025391,810,1,"Trig. 810"
391201172,710,1,"Trig. 710"
391896484,810,1,"Trig. 810"
392593750,910,1,"Trig. 910"
394033203,710,1,"Trig. 710"
394683594,810,1,"Trig. 810"
395380859,910,1,"Trig. 910"
396820313,710,1,"Trig. 710"
397515625,810,1,"Trig. 810"
398212891,910,1,"Trig. 910"
399652344,710,1,"Trig. 710"
400302734,810,1,"Trig. 810"
4.01e+08,910,1,"Trig. 910"
402439453,721,1,"Trig. 721"
403134766,821,1,"Trig. 821"
403832031,921,1,"Trig. 921"
405271484,711,1,"Trig. 711"
405921875,811,1,"Trig. 811"
406619141,911,1,"Trig. 911"
408058594,721,1,"Trig. 721"
408753906,821,1,"Trig. 821"
409451172,921,1,"Trig. 921"
410890625,720,1,"Trig. 720"
411541016,820,1,"Trig. 820"
412238281,920,1,"Trig. 920"
413677734,720,1,"Trig. 720"
414373047,820,1,"Trig. 820"
415070313,920,1,"Trig. 920"
416509766,711,1,"Trig. 711"
417160156,811,1,"Trig. 811"
417857422,911,1,"Trig. 911"
419296875,710,1,"Trig. 710"
419992188,810,1,"Trig. 810"
420689453,910,1,"Trig. 910"
422128906,721,1,"Trig. 721"
422779297,821,1,"Trig. 821"
423521484,921,1,"Trig. 921"
424916016,720,1,"Trig. 720"
425611328,820,1,"Trig. 820"
426308594,920,1,"Trig. 920"
427748047,711,1,"Trig. 711"
428398438,811,1,"Trig. 811"
429140625,911,1,"Trig. 911"
430535156,721,1,"Trig. 721"
431230469,821,1,"Trig. 821"
431927734,921,1,"Trig. 921"
433367188,711,1,"Trig. 711"
434017578,811,1,"Trig. 811"
434759766,911,1,"Trig. 911"
436154297,710,1,"Trig. 710"
436849609,810,1,"Trig. 810"
437546875,910,1,"Trig. 910"
438986328,721,1,"Trig. 721"
439636719,821,1,"Trig. 821"
440378906,921,1,"Trig. 921"
441773438,720,1,"Trig. 720"
442468750,820,1,"Trig. 820"
443166016,920,1,"Trig. 920"
444605469,711,1,"Trig. 711"
445302734,811,1,"Trig. 811"
445998047,911,1,"Trig. 911"
447392578,721,1,"Trig. 721"
448087891,821,1,"Trig. 821"
448785156,921,1,"Trig. 921"
450224609,720,1,"Trig. 720"
450921875,820,1,"Trig. 820"
451617188,920,1,"Trig. 920"
452832031,711,1,"Trig. 711"
453527344,811,1,"Trig. 811"
454224609,911,1,"Trig. 911"
455664063,710,1,"Trig. 710"
456361328,810,1,"Trig. 810"
457056641,910,1,"Trig. 910"
458451172,710,1,"Trig. 710"
459146484,810,1,"Trig. 810"
459843750,910,1,"Trig. 910"
461283203,710,1,"Trig. 710"
461980469,810,1,"Trig. 810"
462675781,910,1,"Trig. 910"
464115234,721,1,"Trig. 721"
464765625,821,1,"Trig. 821"
465509766,921,1,"Trig. 921"
466902344,720,1,"Trig. 720"
467599609,820,1,"Trig. 820"
468294922,920,1,"Trig. 920"
469734375,711,1,"Trig. 711"
470384766,811,1,"Trig. 811"
471128906,911,1,"Trig. 911"
472521484,721,1,"Trig. 721"
473218750,821,1,"Trig. 821"
473914063,921,1,"Trig. 921"
475353516,720,1,"Trig. 720"
476050781,820,1,"Trig. 820"
476748047,920,1,"Trig. 920"
478187500,720,1,"Trig. 720"
478837891,820,1,"Trig. 820"
479533203,920,1,"Trig. 920"
480972656,720,1,"Trig. 720"
481669922,820,1,"Trig. 820"
482367188,920,1,"Trig. 920"
483759766,711,1,"Trig. 711"
484457031,811,1,"Trig. 811"
485152344,911,1,"Trig. 911"
486591797,710,1,"Trig. 710"
487289063,810,1,"Trig. 810"
487986328,910,1,"Trig. 910"
489378906,721,1,"Trig. 721"
490076172,821,1,"Trig. 821"
490771484,921,1,"Trig. 921"
492210938,720,1,"Trig. 720"
492908203,820,1,"Trig. 820"
493605469,920,1,"Trig. 920"
494998047,711,1,"Trig. 711"
495695313,811,1,"Trig. 811"
496390625,911,1,"Trig. 911"
497830078,710,1,"Trig. 710"
498527344,810,1,"Trig. 810"
499224609,910,1,"Trig. 910"
500617188,710,1,"Trig. 710"
501314453,810,1,"Trig. 810"
502009766,910,1,"Trig. 910"
503449219,721,1,"Trig. 721"
504146484,821,1,"Trig. 821"
504843750,921,1,"Trig. 921"
506283203,720,1,"Trig. 720"
506978516,820,1,"Trig. 820"
507675781,920,1,"Trig. 920"
509068359,711,1,"Trig. 711"
509765625,811,1,"Trig. 811"
510462891,911,1,"Trig. 911"
511902344,710,1,"Trig. 710"
512597656,810,1,"Trig. 810"
513294922,910,1,"Trig. 910"
514687500,710,1,"Trig. 710"
