weber_version,start_date,start_time,offset,trial,time,sid,condition,version,code,stimulus,phase,stimtrak,value,daq_code
0.5.1-dirty,2017-06-06,14:02:12,11,0,469.4051551532302,1116,study1,0.3.2,stimulus,,practice,,,9
0.5.1-dirty,2017-06-06,14:02:12,11,0,472.0076525324894,1116,study1,0.3.2,stream_2,,practice,,,2
0.5.1-dirty,2017-06-06,14:02:12,11,0,472.12432072441516,1116,study1,0.3.2,stream_2_up,,practice,,,4
0.5.1-dirty,2017-06-06,14:02:12,11,0,472.20519860177774,1116,study1,0.3.2,stimulus,,practice,,,9
0.5.1-dirty,2017-06-06,14:02:12,11,0,475.1325753785277,1116,study1,0.3.2,stream_1,,practice,,,1
0.5.1-dirty,2017-06-06,14:02:12,11,0,475.1479688231011,1116,study1,0.3.2,stimulus,,practice,,,9
0.5.1-dirty,2017-06-06,14:02:12,11,0,475.2388809204713,1116,study1,0.3.2,stream_1_up,,practice,,,3
0.5.1-dirty,2017-06-06,14:02:12,11,0,478.0214976235875,1116,study1,0.3.2,stream_2,,practice,,,2
0.5.1-dirty,2017-06-06,14:02:12,12,0,478.036743103612,1116,study1,0.3.2,break_start,,,,,253
0.5.1-dirty,2017-06-06,14:02:12,12,0,478.04924653544913,1116,study1,0.3.2,instructions,,,,,12
0.5.1-dirty,2017-06-06,14:02:12,12,0,478.20171844142897,1116,study1,0.3.2,stream_2_up,,practice,,,4
0.5.1-dirty,2017-06-06,14:02:12,13,0,557.932537859966,1116,study1,0.3.2,break_start,,,,,253
0.5.1-dirty,2017-06-06,14:02:12,14,1,560.6336149791441,1116,study1,0.3.2,trial_start,,,,,252
0.5.1-dirty,2017-06-06,14:02:12,14,1,560.6439357200943,1116,study1,0.3.2,experiment_start,,,,,10
0.5.1-dirty,2017-06-06,14:02:12,14,1,561.345335567341,1116,study1,0.3.2,stimulus,,test,,,9
0.5.1-dirty,2017-06-06,14:02:12,15,2,563.4453476268791,1116,study1,0.3.2,trial_start,,,,,252
0.5.1-dirty,2017-06-06,14:02:12,15,2,563.5756262763371,1116,study1,0.3.2,stream_1,,test,,,1
0.5.1-dirty,2017-06-06,14:02:12,15,2,563.7090133216552,1116,study1,0.3.2,stream_1_up,,test,,,3
0.5.1-dirty,2017-06-06,14:02:12,15,2,564.1557889917221,1116,study1,0.3.2,stimulus,,test,,,9
0.5.1-dirty,2017-06-06,14:02:12,15,2,566.2270796787652,1116,study1,0.3.2,stream_1,,test,,,1
0.5.1-dirty,2017-06-06,14:02:12,16,3,566.2557714013328,1116,study1,0.3.2,trial_start,,,,,252
0.5.1-dirty,2017-06-06,14:02:12,16,3,566.365981610772,1116,study1,0.3.2,stream_1_up,,test,,,3
0.5.1-dirty,2017-06-06,14:02:12,16,3,566.9666221632651,1116,study1,0.3.2,stimulus,,test,,,9
0.5.1-dirty,2017-06-06,14:02:12,17,4,569.0666005815383,1116,study1,0.3.2,trial_start,,,,,252
0.5.1-dirty,2017-06-06,14:02:12,17,4,569.283269144089,1116,study1,0.3.2,stream_2,,test,,,2
0.5.1-dirty,2017-06-06,14:02:12,17,4,569.4832718810048,1116,study1,0.3.2,stream_2_up,,test,,,4
0.5.1-dirty,2017-06-06,14:02:12,17,4,569.7823760825431,1116,study1,0.3.2,stimulus,,test,,,9
0.5.1-dirty,2017-06-06,14:02:12,18,5,571.882353930625,1116,study1,0.3.2,trial_start,,,,,252
0.5.1-dirty,2017-06-06,14:02:12,18,5,571.9803284128702,1116,study1,0.3.2,stream_1,,test,,,1
0.5.1-dirty,2017-06-06,14:02:12,18,5,572.1303296815458,1116,study1,0.3.2,stream_1_up,,test,,,3
0.5.1-dirty,2017-06-06,14:02:12,18,5,572.5934008382392,1116,study1,0.3.2,stimulus,,test,,,9
0.5.1-dirty,2017-06-06,14:02:12,19,6,574.6933795416062,1116,study1,0.3.2,trial_start,,,,,252
0.5.1-dirty,2017-06-06,14:02:12,19,6,574.8433808102818,1116,study1,0.3.2,stream_1,,test,,,1
0.5.1-dirty,2017-06-06,14:02:12,19,6,575.010051895928,1116,study1,0.3.2,stream_1_up,,test,,,3
0.5.1-dirty,2017-06-06,14:02:12,19,6,575.4079636286606,1116,study1,0.3.2,stimulus,,test,,,9
0.5.1-dirty,2017-06-06,14:02:12,20,7,577.510069144204,1116,study1,0.3.2,trial_start,,,,,252
0.5.1-dirty,2017-06-06,14:02:12,20,7,577.6721151261099,1116,study1,0.3.2,stream_1,,test,,,1
0.5.1-dirty,2017-06-06,14:02:12,20,7,577.8221161096899,1116,study1,0.3.2,stream_1_up,,test,,,3
0.5.1-dirty,2017-06-06,14:02:12,20,7,578.221225528474,1116,study1,0.3.2,stimulus,,test,,,9
0.5.1-dirty,2017-06-06,14:02:12,21,8,580.321206797702,1116,study1,0.3.2,trial_start,,,,,252
0.5.1-dirty,2017-06-06,14:02:12,21,8,580.4020250901121,1116,study1,0.3.2,stream_1,,test,,,1
0.5.1-dirty,2017-06-06,14:02:12,21,8,580.5853602908192,1116,study1,0.3.2,stream_1_up,,test,,,3
0.5.1-dirty,2017-06-06,14:02:12,21,8,581.033332221461,1116,study1,0.3.2,stimulus,,test,,,9
0.5.1-dirty,2017-06-06,14:02:12,22,9,583.1342973551418,1116,study1,0.3.2,trial_start,,,,,252
0.5.1-dirty,2017-06-06,14:02:12,22,9,583.2787344156131,1116,study1,0.3.2,stream_1,,test,,,1
0.5.1-dirty,2017-06-06,14:02:12,22,9,583.428736539574,1116,study1,0.3.2,stream_1_up,,test,,,3
0.5.1-dirty,2017-06-06,14:02:12,22,9,583.8444624624772,1116,study1,0.3.2,stimulus,,test,,,9
0.5.1-dirty,2017-06-06,14:02:12,23,10,585.9444517143802,1116,study1,0.3.2,trial_start,,,,,252
0.5.1-dirty,2017-06-06,14:02:12,23,10,586.1378730224715,1116,study1,0.3.2,stream_1,,test,,,1
0.5.1-dirty,2017-06-06,14:02:12,23,10,586.304549239836,1116,study1,0.3.2,stream_1_up,,test,,,3
0.5.1-dirty,2017-06-06,14:02:12,23,10,586.65453100798,1116,study1,0.3.2,stimulus,,test,,,9
0.5.1-dirty,2017-06-06,14:02:12,24,11,588.7544971671487,1116,study1,0.3.2,trial_start,,,,,252
0.5.1-dirty,2017-06-06,14:02:12,24,11,588.8173239400076,1116,study1,0.3.2,stream_1,,test,,,1
0.5.1-dirty,2017-06-06,14:02:12,24,11,588.9696550088283,1116,study1,0.3.2,stream_1_up,,test,,,3
0.5.1-dirty,2017-06-06,14:02:12,24,11,589.4646106722066,1116,study1,0.3.2,stimulus,,test,,,9
0.5.1-dirty,2017-06-06,14:02:12,25,12,591.5645876650015,1116,study1,0.3.2,trial_start,,,,,252
