weber_version,start_date,start_time,offset,trial,time,sid,condition,version,separation,code,stimulus,stimtrak,value
0.5.0,2017-05-23,13:34:59,3,1,17.31223330830835,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,17.35258224284189,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,17.36924912622635,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,17.402583235183556,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,17.438047113620996,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,17.47612563997609,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,17.509460433302593,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,17.5427945422598,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,17.57612933558994,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,17.61582435150558,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,17.63249123489004,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,17.66582637040483,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,17.710072468282306,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,17.743406235051225,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,17.776741370566015,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,17.810075821711507,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,17.843573153681064,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,17.876907947011205,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,17.911684372542368,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,17.95289390641119,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,17.96956078979565,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,18.003229557260056,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,18.036708411153086,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,18.070098638712807,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,18.103972033772152,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,18.137306484914006,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,18.170641620432434,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,18.208525442601967,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,18.241859893743822,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,18.275194344885676,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,18.291861570458423,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,18.32519567941563,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,18.35853047274577,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,18.40092123480281,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,18.436043953184708,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,13:34:59,3,1,18.452711178757454,mary,study2,0.0.1,6st,stream_1_up,,,
0.5.0,2017-05-23,13:34:59,3,1,18.452711178757454,mary,study2,0.0.1,6st,stream_2,,,
0.5.0,2017-05-23,13:34:59,3,1,18.957549013099197,mary,study2,0.0.1,6st,stream_2,,,
0.5.0,2017-05-23,13:34:59,3,1,18.990884148617624,mary,study2,0.0.1,6st,stream_2,,,
0.5.0,2017-05-23,13:34:59,3,1,19.030745125037356,mary,study2,0.0.1,6st,stream_2,,,
0.5.0,2017-05-23,13:34:59,3,1,19.047412008421816,mary,study2,0.0.1,6st,stream_2,,,
0.5.0,2017-05-23,13:34:59,3,1,19.080746801751957,mary,study2,0.0.1,6st,stream_2,,,
0.5.0,2017-05-23,13:34:59,3,1,19.114080568524514,mary,study2,0.0.1,6st,stream_2,,,
0.5.0,2017-05-23,13:34:59,3,1,19.15405138684946,mary,study2,0.0.1,6st,stream_2,,,
0.5.0,2017-05-23,13:34:59,3,1,19.18766814194896,mary,study2,0.0.1,6st,stream_2,,,
0.5.0,2017-05-23,13:34:59,3,1,19.22206542471031,mary,study2,0.0.1,6st,stream_2,,,
0.5.0,2017-05-23,13:34:59,3,1,19.255400560228736,mary,study2,0.0.1,6st,stream_2,,,
0.5.0,2017-05-23,13:34:59,3,1,19.288734326997655,mary,study2,0.0.1,6st,stream_2,,,
0.5.0,2017-05-23,13:34:59,3,1,19.322068093766575,mary,study2,0.0.1,6st,stream_2,,,
0.5.0,2017-05-23,13:34:59,3,1,19.34466028055249,mary,study2,0.0.1,6st,stream_2,,,
0.5.0,2017-05-23,13:34:59,3,1,19.37799507388263,mary,study2,0.0.1,6st,stream_2,,,
0.5.0,2017-05-23,13:34:59,3,1,19.418190024440264,mary,study2,0.0.1,6st,stream_2,,,
0.5.0,2017-05-23,13:34:59,3,1,19.45152447558212,mary,study2,0.0.1,6st,stream_2,,,
0.5.0,2017-05-23,13:34:59,3,1,19.48028491826335,mary,study2,0.0.1,6st,stream_2,,,
0.5.0,2017-05-23,13:34:59,3,1,19.513619369405205,mary,study2,0.0.1,6st,stream_2,,,
0.5.0,2017-05-23,13:34:59,3,1,19.546954504919995,mary,study2,0.0.1,6st,stream_2,,,
0.5.0,2017-05-23,13:34:59,3,1,19.58031769973968,mary,study2,0.0.1,6st,stream_2,,,
0.5.0,2017-05-23,13:34:59,3,1,19.61938377665865,mary,study2,0.0.1,6st,stream_2,,,
