weber_version,start_date,start_time,offset,trial,time,sid,condition,deviant,version,code,stimulus,stimtrak,value
0.5.3,2017-06-08,09:36:26,19,17,1015.3813359695196,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1015.414669850361,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1015.4517677581753,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1015.4851019811904,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1015.5191144134296,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1015.5524486364302,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1015.5751258724922,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1015.6084600955073,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1015.6459809430817,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1015.6793151660968,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1015.7126490469236,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1015.7467678984685,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1015.7801014371071,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1015.8134356601222,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1015.8467691987607,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1015.8809157672367,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1015.9142496480636,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1015.9480119436048,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1015.9813461666199,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1016.024462411413,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1016.0411302072753,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1016.0749424617243,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1016.1086876480404,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1016.142690499124,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1016.1884429315396,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1016.2051100430399,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1016.2386601843318,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1016.2725703034812,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1016.3076472709799,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1016.3455845568242,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1016.3789198063896,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1016.4167390386428,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1016.4334064923314,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1016.4667403731582,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1016.5101036749984,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1016.5442423732311,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1016.568874508026,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1016.6022087310412,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1016.6408307275997,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1016.675082004469,mary,study2,ripple,0.1.0,stream_1,,,
0.5.3,2017-06-08,09:36:26,19,17,1016.7091317347949,mary,study2,ripple,0.1.0,stream_1,,,
